ID,name
C0278688,Metastatic Ovary cancer
C0522224,Paralysis
C0153467,Peritoneal cancer
C1096666,Metastatic Thyroid cancer
C0022492,Erotomania
C0040188,Tic disorder
C0020179,Huntington's disease
C0600427,Cocaine dependence
C0151546,Oral cavity cancer
C0917801,Insomnia
C0236795,Psychogenic amnesia
C1263846,Attention deficit hyperactivity disorder
C0010276,Craniopharyngioma
C0032019,Pituitary tumors
C0494165,Metastatic liver cancer
C0009241,Cognitive disorder
C0279530,Bone cancer
C0037650,Somatoform disorder
C0036908,Sexual masochism disorder
C2015799,Other Neurological Disorders
C0029401,Paget's disease
C0006012,Borderline personality disorder
C0003431,Antisocial personality disorder
C0220636,Salivary gland cancer
C0746787,Neck cancer
C0149654,Conduct disorder
C0041671,Attention deficit disorder
C0027627,Metastatic Cancer
C0236712,Caffeine-induced anxiety disorder
C0349712,Recurrent brief depression
C3658283,Ekbom's Syndrome (Delusional Parasitosis)
C1704231,Leptomeningeal metastases
C0027404,Narcolepsy
C0002624,Retrograde amnesia
C0030477,Paranoid personality disorder
C0334361,Ovarian primary peritoneal carcinoma 
C0338591,Transient global amnesia
C0236792,Asperger syndrome
C0869474,Dyscalculia
C4302241,Rumination syndrome
C0238324,Ovarian germ cell tumor
C0002625,Amnestic disorder
C2362914,Clinical Depression
C0005887,Body dysmorphic disorder
C1696701,Dermatillomania
C0016142,Pyromania
C0553580,Ewing sarcoma
C0334265,Transitional cell cancer 
C0740394,hyperuricaemia
C0023827,Liposarcoma
